概念_ths,概念种类,概念代码_ths,自定义领域
边缘计算,行业,307408,半导体
超级电容,行业,300926,半导体
传感器,行业,301016,半导体
大数据,行业,300835,半导体
电子身份证,事件,308869,半导体
第三代半导体,行业,308700,半导体
东数西算,事件,308828,半导体
光刻胶,行业,308582,半导体
国产操作系统,事件,308531,半导体
国产软件,事件,301524,半导体
国资云,事件,308874,半导体
集成电路,行业,301522,半导体
MiniLED,行业,308628,半导体
OLED,行业,301154,半导体
PCB,行业,308832,半导体
人工智能,行业,302035,半导体
人脸识别,行业,301166,半导体
数据安全,行业,308801,半导体
数据中心,行业,308642,半导体
MCU芯片,行业,308300,半导体
WiFi 6,行业,308791,半导体
物联网,行业,300378,半导体
无人驾驶,行业,301286,半导体
无线充电,行业,300723,半导体
无线耳机,行业,308612,半导体
消费电子,行业,308384,半导体
芯片,行业,301085,半导体
稀土永磁,行业,300382,半导体
智能穿戴,行业,301175,半导体
鸿蒙,知名企业,308731,半导体
华为,知名企业,301459,半导体
华为海思股,知名企业,308527,半导体
华为鲲鹏,知名企业,308883,半导体
中芯国际,知名企业,308690,半导体
物业管理,行业,308717,房地产
装配式建筑,行业,305794,房地产
租售同权,事件,302034,房地产
恒大,知名企业,302144,房地产
电子商务,行业,300186,互联网
富媒体,行业,308648,互联网
共享经济,行业,302166,互联网
互联网彩票,行业,301249,互联网
互联网金融,行业,301209,互联网
互联网医疗,行业,300444,互联网
互联网保险,行业,301628,互联网
NFT,事件,308748,互联网
农村电商,事件,301632,互联网
拼多多,知名企业,308709,互联网
区块链,行业,302045,互联网
手机游戏,行业,301050,互联网
数字货币,行业,301997,互联网
数字经济,行业,308870,互联网
数字孪生,行业,308479,互联网
数字乡村,行业,308525,互联网
网络安全,行业,300756,互联网
虚拟数字人,行业,308794,互联网
虚拟现实,行业,301699,互联网
移动支付,行业,300188,互联网
元宇宙,行业,308752,互联网
云办公,行业,308634,互联网
云计算,行业,300419,互联网
云游戏,行业,308624,互联网
语音技术,行业,300917,互联网
在线教育,行业,301227,互联网
在线旅游,行业,301223,互联网
阿里巴巴,知名企业,301558,互联网
百度,知名企业,301259,互联网
抖音,知名企业,308366,互联网
快手,知名企业,308659,互联网
蚂蚁金服,知名企业,302150,互联网
腾讯,知名企业,302010,互联网
微信小程序,知名企业,302170,互联网
丙烯酸,行业,305376,化工
草甘膦,行业,300157,化工
环氧丙烷,行业,308202,化工
磷化工,行业,300098,化工
固废处理,行业,300221,环保
建筑节能,行业,300261,环保
节能环保,行业,300730,环保
节能照明,行业,300053,环保
净水,行业,301032,环保
金属回收,行业,301107,环保
可降解塑料,行业,301117,环保
可燃冰,行业,300277,环保
垃圾分类,行业,308566,环保
PM2.5,行业,300134,环保
土壤修复,行业,300925,环保
污水处理,行业,300374,环保
噪声防治,行业,308931,环保
地下管网,行业,301623,基建
民爆,行业,308834,基建
PPP,事件,301624,基建
特色小镇,事件,302674,基建
新型城镇化,事件,300841,基建
智慧城市,事件,300642,基建
智慧灯杆,事件,308841,基建
智慧政务,事件,308606,基建
职业教育,行业,301539,教育
北交所,金融,308743,金融
参股保险,金融,300018,金融
参股券商,金融,300100,金融
参股新三板,金融,300389,金融
参股银行,金融,301270,金融
创投,金融,300168,金融
创业板重组松绑,金融,308568,金融
国家大基金持股 ,金融,307816,金融
独角兽,知名企业,308002,制造业
分拆上市意愿,金融,308590,金融
高送转,金融,301436,金融
供应链金融,行业,301284,金融
股权转让,金融,302154,金融
核准制次新股,金融,308698,金融
沪股通,金融,301490,金融
金改,事件,300265,金融
举牌,金融,300269,金融
科创次新股,金融,308699,金融
壳资源,金融,301610,金融
MSCI,金融,303944,金融
期货,金融,300220,金融
融资融券,金融,300900,金融
赛马,行业,301602,消费
上海国资改革,事件,301402,金融
深股通,金融,301636,金融
首发新股,金融,301531,金融
送转填权,金融,308296,金融
ST板块,金融,300862,金融
深圳国资改革,事件,301171,金融
同花顺漂亮100,金融,308718,金融
土地流转,事件,300858,金融
无人零售,行业,304756,消费
新股与次新股,金融,300870,金融
信托,金融,301377,金融
央企国资改革,事件,301546,金融
半年报预增,金融,308458,金融
债转股,金融,302046,金融
中字头股票,金融,300704,金融
专精特新,事件,308740,金融
注册制次新股,金融,308697,金融
证金持股,金融,301715,金融
摘帽,金融,301455,金融
海峡两岸,事件,300066,军工
军工,行业,300082,军工
航空发动机,行业,301470,军工
国产航母,事件,300236,军工
军民融合,事件,301786,军工
卫星导航,行业,300722,军工
中船系,金融,301713,军工
钴,行业,302174,矿物
黄金,行业,300248,矿物
金属铅,行业,308864,矿物
金属锌,行业,301582,矿物
金属镍,行业,301511,矿物
金属铜,行业,301577,矿物
小金属,行业,300809,矿物
大豆,行业,301123,粮食
化肥,行业,301104,粮食
粮食,行业,308956,粮食
生态农业,行业,300923,粮食
农业种植,行业,308016,粮食
食品安全,事件,300023,粮食
玉米,行业,301572,粮食
转基因,行业,300435,粮食
标普道琼斯A股,知名企业,308594,美股
安防,行业,300800,民生
三胎,事件,300891,民生
辅助生殖,行业,308708,民生
托育服务,行业,308862,民生
养老,行业,301494,民生
超超临界发电,行业,308969,能源
抽水蓄能,行业,308753,能源
电力物联网,行业,308477,能源
煤化工,行业,300084,能源
煤炭,行业,308716,能源
柔性直流输电,行业,308810,能源
生物质能发电,行业,308989,能源
水利,行业,300345,能源
特高压,行业,300353,能源
天然气,行业,300358,能源
稀缺资源,行业,300777,能源
虚拟电厂,行业,308761,能源
页岩气,行业,300402,能源
智能电网,行业,300037,能源
长三角一体化,区域,308432,区域
福建自贸区,区域,301236,区域
共同富裕示范区,区域,308732,区域
广东自贸区,区域,301630,区域
海南自贸区,区域,308428,区域
黑龙江自贸区,区域,308547,区域
横琴新区,区域,300087,区域
京津冀一体化,区域,300061,区域
上海自贸区,区域,301128,区域
天津自贸区,区域,301229,区域
雄安新区,区域,302182,区域
新疆振兴,区域,300386,区域
粤港澳大湾区,区域,301491,区域
自由贸易港,区域,306398,区域
冬奥会,事件,301544,事件
俄乌冲突,事件,308850,事件
杭州亚运会,事件,301783,事件
统一大市场,事件,308901,事件
乡村振兴,事件,300836,事件
一带一路,事件,301365,事件
中俄贸易,区域,308854,区域
中韩自贸区,区域,301541,区域
知识产权保护,行业,308172,消费
冰雪产业,行业,307550,消费
超清视频,行业,308473,消费
电子竞技,行业,302027,消费
露营经济,行业,308926,消费
免税店,行业,308657,消费
网络直播,行业,302059,消费
网红经济,行业,308630,消费
网络游戏,行业,300019,消费
网约车,行业,302142,消费
文化传媒,行业,300806,消费
白酒,行业,301496,消费
超级品牌,行业,306750,消费
培育钻石,行业,308774,消费
啤酒,行业,301497,消费
染料,行业,301292,消费
人造肉,行业,308517,消费
社区团购,事件,308710,消费
室外经济,行业,308661,消费
体育产业,行业,301605,消费
通用航空,行业,300362,消费
新零售,行业,302436,消费
新型烟草,行业,301362,消费
烟草,行业,308560,消费
医美,行业,308712,消费
预制菜,行业,308814,消费
智能家居,行业,300920,消费
智能交通,行业,300440,消费
智能物流,行业,301797,消费
智能音箱,行业,302131,消费
足球,行业,301100,消费
车联网,行业,300163,新能源
充电桩,行业,300786,新能源
储能,行业,306380,新能源
锂电池,行业,300733,新能源
动力电池回收,行业,307822,新能源
钒电池,行业,301174,新能源
风电,行业,300200,新能源
钙钛矿电池,行业,308991,新能源
高压快充,行业,308806,新能源
光伏,行业,301079,新能源
碳化硅,行业,308829,新能源
核电,行业,300238,新能源
换电,行业,308775,新能源
绿色电力,行业,308760,新能源
钠离子电池,行业,301096,新能源
汽车拆解,行业,308694,新能源
汽车电子,行业,301471,新能源
汽车热管理,行业,308805,新能源
汽车芯片,行业,308725,新能源
燃料电池,行业,300316,新能源
燃料乙醇,行业,305790,新能源
钛白粉,行业,300351,新能源
胎压监测,行业,308620,新能源
碳交易,行业,300931,新能源
碳纤维,行业,300352,新能源
碳中和,事件,308728,新能源
TOPCON电池,行业,308992,新能源
新能源汽车,行业,300008,新能源
盐湖提锂,行业,307904,新能源
一体化压铸,行业,308984,新能源
有机硅,行业,301279,新能源
比亚迪,知名企业,308972,新能源
宁德时代,知名企业,306912,新能源
华为欧拉,知名企业,308887,新能源
华为汽车,知名企业,308507,新能源
动物疫苗,行业,308537,养殖
禽流感,事件,300075,养殖
乳业,行业,300983,养殖
养鸡,行业,301576,养殖
猪肉,行业,300451,养殖
超级真菌,事件,308501,医药
重组蛋白,行业,308822,医药
代糖,行业,308696,医药
方舱医院,事件,308935,医药
仿制药一致性评价,行业,308572,医药
芬太尼,行业,308438,医药
肝炎,事件,308915,医药
工业大麻,行业,301477,医药
新冠检测,事件,308719,医药
猴痘,事件,308941,医药
家庭医生,行业,308885,医药
基因测序,行业,301146,医药
健康中国,事件,301799,医药
口罩,行业,301414,医药
流感,事件,300038,医药
毛发医疗,行业,308893,医药
民营医院,事件,301346,医药
青蒿素,行业,301794,医药
生物疫苗,行业,300106,医药
生物医药,行业,300769,医药
消毒剂,行业,308636,医药
细胞免疫治疗,行业,301543,医药
新冠治疗,事件,308820,医药
牙科医疗,行业,308733,医药
眼科医疗,行业,301252,医药
医疗废物处理,行业,308638,医药
疫情监测,事件,308888,医药
医疗器械,行业,301505,医药
幽门螺杆菌,行业,308818,医药
医药电商,行业,301565,医药
智能医疗,行业,300682,医药
ETC,行业,308555,制造业
大飞机,事件,300013,制造业
电子纸,行业,301135,制造业
EDR,行业,308803,制造业
F5G,知名企业,308977,制造业
氟化工,行业,300085,制造业
高端装备,行业,300890,制造业
高铁,行业,301518,制造业
工业4.0,行业,301620,制造业
工业互联网,行业,301780,制造业
工业母机,行业,300941,制造业
海工装备,行业,300105,制造业
航运,行业,300973,制造业
家用电器,行业,300814,制造业
机器人,行业,300816,制造业
机器视觉,行业,301258,制造业
跨境电商,行业,301564,制造业
冷链物流,行业,301179,制造业
两轮车,行业,301248,制造业
量子科技,行业,300830,制造业
农机,行业,301306,制造业
柔性屏,行业,308467,制造业
石墨电极,行业,307512,制造业
石墨烯,行业,300337,制造业
水泥,行业,307826,制造业
特钢,行业,300845,制造业
无人机,行业,300889,制造业
新材料,行业,300883,制造业
智能制造,行业,308792,制造业
低辐射玻璃（Low-E）,行业,308876,制造业
富士康,知名企业,307954,制造业
苹果,知名企业,300309,制造业
特斯拉,知名企业,301121,制造业
小米,知名企业,301278,制造业
